Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Manual_Match
63,68987,314822,4.563497470537928,0.8202569507228856,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_63,dead,FP,NA
64,167637,527656,3.147610611022626,0.7588973281767543,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_64,late_infected,FP,NA
65,228597,560147,2.450368989969247,0.7101759252685282,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_65,late_infected,TP,AS_C_I_15_2-20240726_4
66,174440,546286,3.1316555835817472,0.757966273,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_66,late_infected,FP,NA
67,145846,306821,2.103732704359393,0.6778073064747375,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_67,late_infected,FP,NA
68,278937,552357,1.980221340302649,0.6644544529372279,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_68,late_infected,FP,NA
69,111001,279889,2.5214998063080514,0.7160300851902069,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_69,late_infected,FP,NA
70,107606,274072,2.546995520695872,0.7180712537793638,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_70,late_infected,FP,NA
71,99281,366784,3.6944027558143047,0.7869803568171821,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_71,late_infected,FP,NA
72,124026,318087,2.564679986454453,0.7194699092765876,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_72,late_infected,FP,NA
1,210316,412865,1.9630698567869305,0.6625121754353871,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_1,late_infected,TP,AS_C_I_15_3-20240724_22
2,298082,425430,1.4272247233982596,0.5880068333351762,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_2,late_infected,TP,AS_C_I_15_3-20240724_6
3,109781,269278,2.4528652499066324,0.710385455,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_3,late_infected,TP,AS_C_I_15_3-20240724_9
4,326615,344348,1.0542932810801708,0.5132145885838713,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_4,late_infected,TP,AS_C_I_15_3-20240724_13
5,276290,405873,1.4690108219624307,0.5949794990346882,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_5,late_infected,FP,NA/21
6,99818,503080,5.039972750405738,0.8344363391485791,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_6,dead,TP,AS_C_I_15_3-20240724_26
7,145086,227408,1.5674014033056256,0.6105011087426911,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_7,late_infected,FP,NA/5
8,133413,465822,3.4915787816779473,0.7773611354476958,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_8,late_infected,TP,AS_C_I_15_3-20240724_1
9,368084,265209,0.7205121657013073,0.4187777221602007,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_9,early_infected,TP,AS_C_I_15_3-20240724_25
10,87470,136012,1.5549559849091117,0.6086038249165481,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_10,late_infected,FP,NA/27
11,202005,210305,1.0410880918789138,0.510065242,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_11,late_infected,FP,NA
12,196467,329224,1.6757216224607694,0.6262690439821111,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_12,late_infected,FP,NA
13,278751,227280,0.8153513350624751,0.4491424438423733,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_13,early_infected,TP,AS_C_I_15_3-20240724_12
14,152906,190485,1.2457653721894495,0.554717509,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_14,late_infected,TP,AS_C_I_15_3-20240724_3
15,129159,194643,1.5070029963068776,0.6011173494913559,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_15,late_infected,TP,AS_C_I_15_3-20240724_2
16,431889,295025,0.6831037604569693,0.40585956523054995,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_16,early_infected,TP,AS_C_I_15_3-20240724_15
17,262437,317625,1.210290469712731,0.5475707769169502,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_17,late_infected,FP,NA/1
18,126604,177843,1.404718650279612,0.5841509359592967,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_18,late_infected,TP,AS_C_I_15_3-20240724_30
19,199018,372545,1.8719161080907256,0.6518004139526177,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_19,late_infected,TP,AS_C_I_15_3-20240724_4
20,106856,637400,5.965037059219885,0.8564257459798779,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_20,dead,TP,AS_C_I_15_3-20240724_17
21,296432,260494,0.8787647757327144,0.4677353903391115,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_21,early_infected,TP,AS_C_I_15_3-20240724_14
22,135346,202916,1.499238987,0.5998782009211795,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_22,late_infected,TP,AS_C_I_15_3-20240724_10
23,186931,229384,1.227105188545506,0.550986633,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_23,late_infected,TP,AS_C_I_15_3-20240724_23
24,250592,355261,1.417686917379645,0.5863815149879591,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_24,late_infected,FP,NA/9
25,297931,295044,0.9903098368414164,0.497565665,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_25,early_infected,TP,AS_C_I_15_3-20240724_27
26,215457,206001,0.9561118923961626,0.48878180032174023,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_26,early_infected,TP,AS_C_I_15_3-20240724_7
27,104615,141524,1.3528079147349807,0.5749759282356717,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_27,late_infected,TP,AS_C_I_15_3-20240724_5
28,83418,155500,1.8641060682346735,0.6508509195623603,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_28,late_infected,TP,AS_C_I_15_3-20240724_11
29,316913,555884,1.754058685,0.636899531,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_29,late_infected,TP,AS_C_I_15_3-20240724_21
30,357835,209382,0.5851356071932594,0.3691391478041032,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_30,early_infected,FP,NA/25
31,106461,130885,1.229417345318943,0.5514523101295156,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_31,late_infected,FP,NA/25
