Cell_Number,Cell_Source,R_Area,R_Percent,G_Area,G_Percent,B_Area,B_Percent,BR_Ratio,Manual_Match,Status
14,AS_STARTER_5-20240716,5548,81,5548,0,5548,0,0,AS_STARTER_5-20240716_14,uninfected
15,AS_STARTER_5-20240716,7014,77,7014,0,7014,1,0.012987013,AS_STARTER_5-20240716_15,uninfected
16,AS_STARTER_5-20240716,5840,75,5840,0,5840,1,0.013333333,AS_STARTER_5-20240716_16,uninfected
17,AS_STARTER_5-20240716,6768,82,6768,0,6768,22,0.2682926829268293,AS_STARTER_5-20240716_17,uninfected
18,AS_STARTER_5-20240716,6290,58,6290,0,6290,1,0.017241379,AS_STARTER_5-20240716_18,uninfected
19,AS_STARTER_5-20240716,3690,28,3690,0,3690,2,0.071428571,AS_STARTER_5-20240716_19,uninfected
20,AS_STARTER_5-20240716,3020,40,3020,0,3020,25,0.625,AS_STARTER_5-20240716_20,early_infected
1,AS_Starter_1-20240711,5224,39,5224,0,5224,0,0,AS_Starter_1-20240711_1,uninfected
2,AS_Starter_1-20240711,5370,5,5370,0,5370,0,0,AS_Starter_1-20240711_2,uninfected
3,AS_Starter_1-20240711,874,34,874,0,874,8,0.2352941176470588,AS_Starter_1-20240711_3,uninfected
4,AS_Starter_1-20240711,4280,4,4280,0,4280,0,0,AS_Starter_1-20240711_4,uninfected
5,AS_Starter_1-20240711,4084,31,4084,0,4084,0,0,AS_Starter_1-20240711_5,uninfected
6,AS_Starter_1-20240711,4078,5,4078,0,4078,8,1.6,AS_Starter_1-20240711_6,uninfected
7,AS_Starter_1-20240711,3701,11,3701,0,3701,0,0,AS_Starter_1-20240711_7,uninfected
8,AS_Starter_1-20240711,5498,10,5498,0,5498,11,1.1,AS_Starter_1-20240711_8,uninfected
9,AS_Starter_1-20240711,6514,27,6514,0,6514,0,0,AS_Starter_1-20240711_9,uninfected
10,AS_Starter_1-20240711,6404,32,6404,0,6404,1,0.03125,AS_Starter_1-20240711_10,uninfected
11,AS_Starter_1-20240711,2768,48,2768,0,2768,0,0,AS_Starter_1-20240711_11,uninfected
12,AS_Starter_1-20240711,9196,17,9196,0,9196,12,0.7058823529411765,AS_Starter_1-20240711_12,uninfected
13,AS_Starter_1-20240711,2875,49,2875,0,2875,0,0,AS_Starter_1-20240711_13,uninfected
14,AS_Starter_1-20240711,4685,29,4685,0,4685,9,0.3103448275862069,AS_Starter_1-20240711_14,uninfected
15,AS_Starter_1-20240711,4571,23,4571,0,4571,9,0.391304348,AS_Starter_1-20240711_15,uninfected
16,AS_Starter_1-20240711,5042,25,5042,0,5042,1,0.04,AS_Starter_1-20240711_16,uninfected
17,AS_Starter_1-20240711,3480,32,3480,0,3480,5,0.15625,AS_Starter_1-20240711_17,uninfected
18,AS_Starter_1-20240711,3876,35,3876,0,3876,0,0,AS_Starter_1-20240711_18,uninfected
19,AS_Starter_1-20240711,2680,30,2680,0,2680,2,0.066666667,AS_Starter_1-20240711_19,uninfected
20,AS_Starter_1-20240711,2370,23,2370,0,2370,0,0,AS_Starter_1-20240711_20,uninfected
21,AS_Starter_1-20240711,3964,3,3964,0,3964,0,0,AS_Starter_1-20240711_21,uninfected
22,AS_Starter_1-20240711,2718,15,2718,0,2718,1,0.066666667,AS_Starter_1-20240711_22,uninfected
23,AS_Starter_1-20240711,2508,19,2508,0,2508,0,0,AS_Starter_1-20240711_23,uninfected
24,AS_Starter_1-20240711,2646,44,2646,0,2646,0,0,AS_Starter_1-20240711_24,uninfected
25,AS_Starter_1-20240711,5182,7,5182,0,5182,8,1.1428571428571428,AS_Starter_1-20240711_25,uninfected
26,AS_Starter_1-20240711,4246,7,4246,0,4246,0,0,AS_Starter_1-20240711_26,uninfected
27,AS_Starter_1-20240711,2398,4,2398,0,2398,0,0,AS_Starter_1-20240711_27,uninfected
28,AS_Starter_1-20240711,4196,2,4196,0,4196,0,0,AS_Starter_1-20240711_28,uninfected
29,AS_Starter_1-20240711,4232,3,4232,0,4232,3,1,AS_Starter_1-20240711_29,uninfected
30,AS_Starter_1-20240711,4144,8,4144,0,4144,0,0,AS_Starter_1-20240711_30,uninfected
31,AS_Starter_1-20240711,4714,41,4714,0,4714,0,0,AS_Starter_1-20240711_31,uninfected
32,AS_Starter_1-20240711,3258,17,3258,0,3258,0,0,AS_Starter_1-20240711_32,uninfected
33,AS_Starter_1-20240711,1917,2,1917,0,1917,17,8.5,AS_Starter_1-20240711_33,uninfected
34,AS_Starter_1-20240711,5184,0,5184,0,5184,1,0,AS_Starter_1-20240711_34,uninfected
35,AS_Starter_1-20240711,2111,8,2111,0,2111,3,0.375,AS_Starter_1-20240711_35,uninfected
36,AS_Starter_1-20240711,2074,19,2074,0,2074,31,1.631578947368421,AS_Starter_1-20240711_36,uninfected
37,AS_Starter_1-20240711,2488,13,2488,0,2488,6,0.4615384615384616,AS_Starter_1-20240711_37,uninfected
38,AS_Starter_1-20240711,5088,30,5088,0,5088,21,0.7,AS_Starter_1-20240711_38,uninfected
39,AS_Starter_1-20240711,3275,38,3275,0,3275,1,0.026315789,AS_Starter_1-20240711_39,uninfected
40,AS_Starter_1-20240711,2304,18,2304,0,2304,9,0.5,AS_Starter_1-20240711_40,uninfected
41,AS_Starter_1-20240711,3388,0,3388,0,3388,8,0,AS_Starter_1-20240711_41,uninfected
42,AS_Starter_1-20240711,2582,3,2582,0,2582,0,0,AS_Starter_1-20240711_42,uninfected
43,AS_Starter_1-20240711,1070,1,1070,0,1070,0,0,AS_Starter_1-20240711_43,uninfected
44,AS_Starter_1-20240711,2832,0,2832,0,2832,38,0,AS_Starter_1-20240711_44,uninfected
1,AS_Starter_3-20240711,5127,52,5127,0,5127,6,0.1153846153846154,AS_Starter_3-20240711_1,uninfected
2,AS_Starter_3-20240711,4344,47,4344,0,4344,2,0.042553191,AS_Starter_3-20240711_2,uninfected
3,AS_Starter_3-20240711,4112,37,4112,0,4112,0,0,AS_Starter_3-20240711_3,uninfected
4,AS_Starter_3-20240711,3432,37,3432,0,3432,0,0,AS_Starter_3-20240711_4,uninfected
5,AS_Starter_3-20240711,2406,57,2406,0,2406,0,0,AS_Starter_3-20240711_5,uninfected
6,AS_Starter_3-20240711,3408,10,3408,0,3408,0,0,AS_Starter_3-20240711_6,uninfected
7,AS_Starter_3-20240711,2444,17,2444,0,2444,0,0,AS_Starter_3-20240711_7,uninfected
8,AS_Starter_3-20240711,3086,8,3086,0,3086,0,0,AS_Starter_3-20240711_8,uninfected
9,AS_Starter_3-20240711,2656,18,2656,0,2656,2,0.1111111111111111,AS_Starter_3-20240711_9,uninfected
10,AS_Starter_3-20240711,1923,45,1923,0,1923,3,0.066666667,AS_Starter_3-20240711_10,uninfected
11,AS_Starter_3-20240711,2474,26,2474,0,2474,9,0.34615384615384615,AS_Starter_3-20240711_11,uninfected
12,AS_Starter_3-20240711,3672,6,3672,0,3672,0,0,AS_Starter_3-20240711_12,uninfected
13,AS_Starter_3-20240711,3338,37,3338,0,3338,0,0,AS_Starter_3-20240711_13,uninfected
14,AS_Starter_3-20240711,2156,58,2156,0,2156,0,0,AS_Starter_3-20240711_14,uninfected
15,AS_Starter_3-20240711,2540,39,2540,0,2540,0,0,AS_Starter_3-20240711_15,uninfected
16,AS_Starter_3-20240711,3112,69,3112,0,3112,0,0,AS_Starter_3-20240711_16,uninfected
17,AS_Starter_3-20240711,3320,11,3320,0,3320,0,0,AS_Starter_3-20240711_17,uninfected
18,AS_Starter_3-20240711,1057,26,1057,0,1057,0,0,AS_Starter_3-20240711_18,uninfected
19,AS_Starter_3-20240711,3152,30,3152,0,3152,0,0,AS_Starter_3-20240711_19,uninfected
20,AS_Starter_3-20240711,3648,0,3648,0,3648,12,0,AS_Starter_3-20240711_20,early_infected
21,AS_Starter_3-20240711,2630,0,2630,0,2630,3,0,AS_Starter_3-20240711_21,early_infected
22,AS_Starter_3-20240711,2723,11,2723,0,2723,22,2,AS_Starter_3-20240711_22,uninfected
23,AS_Starter_3-20240711,3018,22,3018,0,3018,2,0.090909091,AS_Starter_3-20240711_23,uninfected
24,AS_Starter_3-20240711,1009,59,1009,0,1009,8,0.13559322033898305,AS_Starter_3-20240711_24,uninfected
25,AS_Starter_3-20240711,4334,28,4334,0,4334,0,0,AS_Starter_3-20240711_25,uninfected
26,AS_Starter_3-20240711,2104,9,2104,0,2104,0,0,AS_Starter_3-20240711_26,uninfected
27,AS_Starter_3-20240711,2388,19,2388,0,2388,0,0,AS_Starter_3-20240711_27,uninfected
28,AS_Starter_3-20240711,3068,4,3068,0,3068,0,0,AS_Starter_3-20240711_28,early_infected
29,AS_Starter_3-20240711,3434,25,3434,0,3434,0,0,AS_Starter_3-20240711_29,uninfected
30,AS_Starter_3-20240711,1702,33,1702,0,1702,0,0,AS_Starter_3-20240711_30,uninfected
31,AS_Starter_3-20240711,5010,35,5010,0,5010,0,0,AS_Starter_3-20240711_31,uninfected
32,AS_Starter_3-20240711,2700,46,2700,0,2700,0,0,AS_Starter_3-20240711_32,uninfected
33,AS_Starter_3-20240711,5072,35,5072,0,5072,2,0.057142857,AS_Starter_3-20240711_33,uninfected
34,AS_Starter_3-20240711,4972,34,4972,0,4972,0,0,AS_Starter_3-20240711_34,uninfected
35,AS_Starter_3-20240711,3098,3,3098,0,3098,0,0,AS_Starter_3-20240711_35,uninfected
36,AS_Starter_3-20240711,4068,39,4068,0,4068,8,0.20512820512820512,AS_Starter_3-20240711_36,uninfected
37,AS_Starter_3-20240711,925,24,925,0,925,0,0,AS_Starter_3-20240711_37,uninfected
38,AS_Starter_3-20240711,494,30,494,0,494,0,0,AS_Starter_3-20240711_38,uninfected
39,AS_Starter_3-20240711,1380,24,1380,0,1380,0,0,AS_Starter_3-20240711_39,uninfected
40,AS_Starter_3-20240711,423,12,423,0,423,0,0,AS_Starter_3-20240711_40,uninfected
41,AS_Starter_3-20240711,1435,36,1435,0,1435,0,0,AS_Starter_3-20240711_41,uninfected
