Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Og_Manual_Match,Manual_Match
64,117818,726993,6.170474800115432,0.8605392211985876,AS_Starter_1-20240711,AS_Starter_1-20240711_64,dead,FP,NA,NA
65,192231,943225,4.906726802648897,0.830701498,AS_Starter_1-20240711,AS_Starter_1-20240711_65,dead,FP,NA,NA
66,86959,443161,5.096206258121644,0.835963555,AS_Starter_1-20240711,AS_Starter_1-20240711_66,dead,FP,NA,NA
67,164323,759035,4.619164693925987,0.822037606,AS_Starter_1-20240711,AS_Starter_1-20240711_67,dead,FP,NA,NA
68,124896,1260416,10.091724314629772,0.9098426924764964,AS_Starter_1-20240711,AS_Starter_1-20240711_68,dead,FP,NA,NA
69,284573,991933,3.4856890850502333,0.7770688112707657,AS_Starter_1-20240711,AS_Starter_1-20240711_69,late_infected,FP,NA,NA
70,53790,680295,12.64723926380368,0.9267251067655652,AS_Starter_1-20240711,AS_Starter_1-20240711_70,dead,FP,NA,NA
71,46293,309229,6.6798220033266364,0.8697886488037309,AS_Starter_1-20240711,AS_Starter_1-20240711_71,dead,FP,NA,NA
72,145196,705407,4.858308768836607,0.829302271,AS_Starter_1-20240711,AS_Starter_1-20240711_72,dead,FP,NA,NA
73,130843,696463,5.322890792782189,0.8418444928478701,AS_Starter_1-20240711,AS_Starter_1-20240711_73,dead,FP,NA,NA
74,121062,1329218,10.979646792552575,0.9165250848112088,AS_Starter_1-20240711,AS_Starter_1-20240711_74,dead,FP,NA,NA
75,94929,2128735,22.42449620242497,0.9573096475007016,AS_Starter_1-20240711,AS_Starter_1-20240711_75,dead,FP,NA,NA
76,70583,1322776,18.740716603148066,0.9493432776477564,AS_Starter_1-20240711,AS_Starter_1-20240711_76,dead,FP,NA,NA
77,102329,769599,7.520829872274722,0.8826405391270838,AS_Starter_1-20240711,AS_Starter_1-20240711_77,dead,FP,NA,NA
78,27662,293937,10.62602126,0.913986051,AS_Starter_1-20240711,AS_Starter_1-20240711_78,dead,FP,NA,NA
79,141148,1162310,8.234689829115538,0.8917126597097873,AS_Starter_1-20240711,AS_Starter_1-20240711_79,dead,FP,NA,NA
80,79348,846292,10.665574431617683,0.914277689,AS_Starter_1-20240711,AS_Starter_1-20240711_80,dead,FP,NA,NA
81,28446,505167,17.758806159038176,0.9466917035379572,AS_Starter_1-20240711,AS_Starter_1-20240711_81,dead,FP,NA,NA
82,145765,1101022,7.553404452371969,0.8830874880793592,AS_Starter_1-20240711,AS_Starter_1-20240711_82,dead,FP,NA,NA
83,36613,694773,18.976128697457188,0.9499402504286384,AS_Starter_1-20240711,AS_Starter_1-20240711_83,dead,FP,NA,NA
84,113744,432259,3.800279575186384,0.7916788,AS_Starter_1-20240711,AS_Starter_1-20240711_84,late_infected,FP,NA,NA
85,118511,828466,6.990625342795184,0.8748533491309715,AS_Starter_1-20240711,AS_Starter_1-20240711_85,dead,FP,NA,NA
86,96831,554434,5.725790294430503,0.8513185876716851,AS_Starter_1-20240711,AS_Starter_1-20240711_86,dead,FP,NA,NA
87,78118,619555,7.931014618909854,0.8880306389956326,AS_Starter_1-20240711,AS_Starter_1-20240711_87,dead,FP,NA,NA
88,79373,919276,11.581721744169933,0.9205196220093346,AS_Starter_1-20240711,AS_Starter_1-20240711_88,dead,FP,NA,NA
89,123291,997131,8.087621968,0.8899602114203399,AS_Starter_1-20240711,AS_Starter_1-20240711_89,dead,FP,NA,NA
90,52300,385793,7.376539196940727,0.8806189553359675,AS_Starter_1-20240711,AS_Starter_1-20240711_90,dead,FP,NA,NA
91,117616,412231,3.504888790640729,0.7780189375423471,AS_Starter_1-20240711,AS_Starter_1-20240711_91,late_infected,FP,NA,NA
92,86525,444141,5.133094481363767,0.8369501720479549,AS_Starter_1-20240711,AS_Starter_1-20240711_92,dead,FP,NA,NA
93,29047,267907,9.223224429373085,0.902183503,AS_Starter_1-20240711,AS_Starter_1-20240711_93,dead,FP,NA,NA
94,19439,239387,12.314779566850149,0.9248954896339626,AS_Starter_1-20240711,AS_Starter_1-20240711_94,dead,FP,NA,NA
95,140946,1190167,8.444134633121905,0.8941141736276335,AS_Starter_1-20240711,AS_Starter_1-20240711_95,dead,FP,NA,NA
96,42573,557374,13.092194583421415,0.9290387317546384,AS_Starter_1-20240711,AS_Starter_1-20240711_96,dead,FP,NA,NA
97,88415,555427,6.2820449018831646,0.8626759360215706,AS_Starter_1-20240711,AS_Starter_1-20240711_97,dead,FP,NA,NA
98,16845,681611,40.46369842683289,0.975882518,AS_Starter_1-20240711,AS_Starter_1-20240711_98,dead,FP,NA,NA
99,19902,290326,14.587780122600744,0.9358471833619144,AS_Starter_1-20240711,AS_Starter_1-20240711_99,dead,FP,NA,NA
100,54870,432109,7.875141242937853,0.8873257368387548,AS_Starter_1-20240711,AS_Starter_1-20240711_100,dead,FP,NA,NA
101,91611,693150,7.566231129449521,0.8832625474507525,AS_Starter_1-20240711,AS_Starter_1-20240711_101,dead,FP,NA,NA
102,35743,235133,6.5784349383095995,0.8680466338841388,AS_Starter_1-20240711,AS_Starter_1-20240711_102,dead,FP,NA,NA
103,39979,191640,4.793516596213012,0.8273932622107858,AS_Starter_1-20240711,AS_Starter_1-20240711_103,dead,FP,NA,NA
104,67241,287724,4.278996445620975,0.8105700562027243,AS_Starter_1-20240711,AS_Starter_1-20240711_104,dead,FP,NA,NA
