Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Og_Manual_Match,Manual_Match
3,293505,532440,1.8140747176368377,0.644643408,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_3,late_infected,TP,AS_B_U_15_1-20240726_12,AS_B_U_15_1-20240726_12
4,486540,87210,0.1792452830188679,0.152,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_4,uninfected,TP,AS_B_U_15_1-20240726_19,AS_B_U_15_1-20240726_19
5,1014645,203235,0.20030158331239004,0.16687604690117253,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_5,uninfected,TP,AS_B_U_15_1-20240726_3,AS_B_U_15_1-20240726_3
6,702270,0,0,0,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_6,uninfected,TP,AS_B_U_15_1-20240726_11,AS_B_U_15_1-20240726_11
7,680595,91290,0.13413263394529787,0.11826891311529568,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_7,uninfected,TP,AS_B_U_15_1-20240726_28,AS_B_U_15_1-20240726_28
8,622455,402135,0.6460467021712413,0.3924838227974117,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_8,early_infected,TP,AS_B_U_15_1-20240726_22,AS_B_U_15_1-20240726_22
9,481185,196095,0.4075251722310546,0.2895331325301205,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_9,early_infected,TP,AS_B_U_15_1-20240726_3,AS_B_U_15_1-20240726_3
10,479655,53040,0.11057947900053164,0.099569172,AS_B_U_15_1-20240726,AS_B_U_15_1-20240726_10,uninfected,TP,AS_B_U_15_1-20240726_16,AS_B_U_15_1-20240726_16
1,933810,0,0,0,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_1,uninfected,TP,AS_C_I_15_2-20240726_10,AS_C_I_15_2-20240726_10
2,860880,38250,0.04443128,0.042541123,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_2,uninfected,TP,AS_C_I_15_2-20240726_16,AS_C_I_15_2-20240726_16
3,563040,282795,0.5022644927536232,0.33433825746156165,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_3,early_infected,TP,AS_C_I_15_2-20240726_19,AS_C_I_15_2-20240726_19
4,704820,179010,0.2539797395079595,0.20253894979803808,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_4,early_infected,TP,AS_C_I_15_2-20240726_18,AS_C_I_15_2-20240726_18
5,666570,61200,0.091813313,0.084092502,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_5,uninfected,TP,AS_C_I_15_2-20240726_11,AS_C_I_15_2-20240726_11
6,660195,0,0,0,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_6,uninfected,TP,AS_C_I_15_2-20240726_1,AS_C_I_15_2-20240726_1
7,40545,868785,21.42767295597484,0.9554122265844084,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_7,dead,TP,AS_C_I_15_2-20240726_9,AS_C_I_15_2-20240726_9
8,783360,1530,0.001953125,0.001949318,AS_C_I_15_2-20240726,AS_C_I_15_2-20240726_8,uninfected,FP,NA/10,NA
1,934830,504390,0.5395526459356247,0.35046066619418853,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_1,early_infected,TP,AS_C_I_15_3-20240724_8,AS_C_I_15_3-20240724_8
2,621180,221340,0.3563218390804598,0.2627118644067797,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_2,early_infected,TP,AS_C_I_15_3-20240724_23,AS_C_I_15_3-20240724_23
3,628320,242505,0.3859577922077922,0.27847730600292825,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_3,early_infected,FP,NA/8,NA
4,926925,111690,0.12049518569463548,0.1075374416891726,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_4,uninfected,TP,AS_C_I_15_3-20240724_20,AS_C_I_15_3-20240724_20
5,948600,14025,0.014784946,0.014569536,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_5,uninfected,TP,AS_C_I_15_3-20240724_15,AS_C_I_15_3-20240724_15
6,430950,637245,1.478698224852071,0.5965624253998568,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_6,late_infected,FP,NA/21,NA
7,1096245,5100,0.004652245,0.004630702,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_7,uninfected,TP,AS_C_I_15_3-20240724_6,AS_C_I_15_3-20240724_6
8,1331610,105315,0.079088472,0.073291925,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_8,uninfected,TP,AS_C_I_15_3-20240724_14,AS_C_I_15_3-20240724_14
9,731850,122400,0.1672473867595819,0.14328358208955225,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_9,uninfected,TP,AS_C_I_15_3-20240724_5,AS_C_I_15_3-20240724_5
10,330735,266220,0.8049344641480339,0.4459632635625801,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_10,early_infected,TP,AS_C_I_15_3-20240724_2,AS_C_I_15_3-20240724_2
11,384030,700995,1.8253652058432936,0.646063455,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_11,late_infected,TP,AS_C_I_15_3-20240724_17,AS_C_I_15_3-20240724_17
12,1003425,41310,0.041168996,0.039541128,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_12,uninfected,TP,AS_C_I_15_3-20240724_7,AS_C_I_15_3-20240724_7
13,670650,206295,0.3076045627376426,0.2352428031404478,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_13,early_infected,TP,AS_C_I_15_3-20240724_13,AS_C_I_15_3-20240724_13
14,371790,193800,0.5212620027434842,0.34265103697024346,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_14,early_infected,TP,AS_C_I_15_3-20240724_1,AS_C_I_15_3-20240724_1
15,452625,506685,1.11943662,0.5281765018607124,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_15,late_infected,TP,AS_C_I_15_3-20240724_22,AS_C_I_15_3-20240724_22
16,805545,97155,0.12060778727445394,0.1076271186440678,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_16,uninfected,TP,AS_C_I_15_3-20240724_25,AS_C_I_15_3-20240724_25
17,841500,240210,0.28545454545454546,0.22206506364922207,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_17,early_infected,FP,NA/8,NA
