Model,MAE,R^2,Uninf_F1,Uninf_precision,Uninf_recall,EarlyInf_F1,EarlyInf_precision,EarlyInf_recall,LateInf_F1,LateInf_precision,LateInf_recall,Dead_F1,Dead_precision,Dead_recall,F1_Macro,Precision_Macro,Recall_Macro,F1_Weighted,Precision_Weighted,Recall_Weighted,Accuracy,Combined Score
hlt,15.714285714285714,-2.586806814,0.34545454545454546,0.49137931034482757,0.26635514018691586,0.34545454545454546,0.49137931034482757,0.26635514018691586,0.34545454545454546,0.49137931034482757,0.26635514018691586,0.34545454545454546,0.49137931034482757,0.26635514018691586,0.11871605009593907,0.20444557133198107,0.085178716,0.2282488031454518,0.3510944386063524,0.1710843373493976,0.1710843373493976,-3.589534391
kmeans,19.571428571428573,-3.627763682,0,0,0,0,0,0,0,0,0,0,0,0,0.032140714,0.078921569,0.048992674,0.021546927,0.086069519,0.020454545454545454,0.020454545454545454,-4.618751607
combined_w,18.214285714285715,-4.820224719,0,0,0,0,0,0,0,0,0,0,0,0,0.041926999,0.041782961,0.10193103997451824,0.018651826,0.024407977685180736,0.031563845,0.031563845,-4.272126179
kmeans_new,22.785714285714285,-5.047843422,0,0,0,0,0,0,0,0,0,0,0,0,0.073293633,0.11074800290486564,0.059981684981684984,0.053822052,0.10228955205395393,0.03875969,0.03875969,-5.391458347
gmm,23.857142857142858,-5.908300109,0,0,0,0,0,0,0,0,0,0,0,0,0.044057971,0.10833333333333334,0.027655677655677658,0.033321922,0.080708661,0.020997375,0.020997375,-5.681242236
combined_wo,72.85714285714286,-99.26241392,0,0,0,0,0,0,0,0,0,0,0,0,0.014491131120857094,0.009731951,0.083775283,0.003077656,0.002369054,0.010498687664041995,0.010498687664041995,-17.95341737
