Model,MAE,Count_F1,Count_precision,Count_recall,Uninf_F1,Uninf_precision,Uninf_recall,EarlyInf_F1,EarlyInf_precision,EarlyInf_recall,LateInf_F1,LateInf_precision,LateInf_recall,Dead_F1,Dead_precision,Dead_recall,F1_Macro,Precision_Macro,Recall_Macro,F1_Weighted,Precision_Weighted,Recall_Weighted,Accuracy,Combined Score
combined_w,18.214285714285715,0.3020706455542022,0.2767857142857143,0.3324396782841823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04192699933089112,0.04178296119085593,0.10193103997451824,0.01865182578103027,0.024407977685180736,0.03156384505021521,0.03156384505021521,-4.19660851768471
combined_wo,72.85714285714286,0.10918114143920599,0.07091055600322321,0.2371967654986523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014491131120857094,0.009731951353106357,0.08377528268832617,0.0030776558676839255,0.0023690536987621027,0.010498687664041995,0.010498687664041995,-17.92612208058527
gmm,23.857142857142858,0.1323529411764706,0.7297297297297297,0.07277628032345014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04405797101449275,0.10833333333333334,0.027655677655677658,0.0333219217163072,0.08070866141732283,0.02099737532808399,0.02099737532808399,-5.648154000730727
hlt,15.714285714285714,0.4742647058823529,0.7543859649122807,0.34584450402144773,0.34545454545454546,0.49137931034482757,0.26635514018691586,0.34545454545454546,0.49137931034482757,0.26635514018691586,0.34545454545454546,0.49137931034482757,0.26635514018691586,0.34545454545454546,0.49137931034482757,0.26635514018691586,0.11871605009593907,0.20444557133198107,0.08517871628952883,0.2282488031454518,0.3510944386063524,0.1710843373493976,0.1710843373493976,-3.470968214528886
kmeans,19.571428571428573,0.11965811965811966,0.28865979381443296,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03214071407140714,0.07892156862745099,0.04899267399267399,0.02154692742001473,0.08606951871657753,0.020454545454545454,0.020454545454545454,-4.588837077389058
kmeans_new,22.785714285714285,0.1702127659574468,0.6923076923076923,0.09703504043126684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07329363261566652,0.11074800290486564,0.059981684981684984,0.05382205224538689,0.10228955205395393,0.03875968992248062,0.03875968992248062,-5.34890515547746
